id,n_items,total_weight,n_even,n_odd,even_ratio,pattern_eoe,pattern_oeo,pattern_eee,pattern_ooo,opt_bins,waste_pct,solve_time_ms
97,10,431,7,3,0.7,1,0,1,0,5,13.8,0.010013580322265625
98,13,505,6,7,0.46153846153846156,0,1,1,1,6,15.833333333333332,0.010013580322265625
99,14,553,7,7,0.5,1,1,1,1,6,7.833333333333334,0.014066696166992188
100,14,610,8,6,0.5714285714285714,1,1,1,0,7,12.857142857142856,0.015020370483398438
101,13,507,6,7,0.46153846153846156,1,1,1,1,6,15.5,0.010967254638671875
102,12,499,9,3,0.75,1,1,1,0,6,16.833333333333332,0.010967254638671875
103,14,494,8,6,0.5714285714285714,1,1,1,0,6,17.666666666666668,0.009775161743164062
104,14,516,6,8,0.42857142857142855,0,1,1,1,6,14.000000000000002,0.012636184692382812
105,12,485,7,5,0.5833333333333334,0,0,1,0,5,3.0,0.009775161743164062
106,11,410,5,6,0.45454545454545453,1,1,0,1,5,18.0,0.009059906005859375
107,10,452,2,8,0.2,0,1,0,1,5,9.6,0.008821487426757812
108,14,561,7,7,0.5,1,1,0,0,6,6.5,0.013113021850585938
109,14,668,8,6,0.5714285714285714,1,1,1,0,8,16.5,0.0171661376953125
110,12,519,5,7,0.4166666666666667,1,1,1,1,6,13.5,0.012159347534179688
111,13,553,8,5,0.6153846153846154,1,1,1,0,6,7.833333333333334,0.010967254638671875
112,15,645,10,5,0.6666666666666666,1,0,1,1,7,7.857142857142857,0.017881393432617188
113,13,516,7,6,0.5384615384615384,0,1,1,1,6,14.000000000000002,0.013113021850585938
114,13,476,7,6,0.5384615384615384,1,1,1,0,5,4.8,0.012159347534179688
115,12,555,5,7,0.4166666666666667,0,1,1,1,6,7.5,0.011920928955078125
116,13,559,8,5,0.6153846153846154,1,1,0,0,6,6.833333333333333,0.011920928955078125
117,15,601,10,5,0.6666666666666666,1,1,1,0,7,14.142857142857142,0.018835067749023438
118,12,367,5,7,0.4166666666666667,0,1,1,1,4,8.25,0.009059906005859375
119,14,547,5,9,0.35714285714285715,0,1,1,1,6,8.833333333333334,0.011920928955078125
120,13,528,7,6,0.5384615384615384,1,0,1,1,6,12.0,0.011205673217773438
121,13,529,8,5,0.6153846153846154,1,1,1,0,6,11.833333333333334,0.010013580322265625
122,15,545,12,3,0.8,1,0,1,0,6,9.166666666666666,0.014066696166992188
123,15,635,6,9,0.4,1,1,1,1,7,9.285714285714286,0.0171661376953125
124,15,696,7,8,0.4666666666666667,1,1,1,1,8,13.0,0.017881393432617188
125,12,595,7,5,0.5833333333333334,0,0,1,1,9,33.88888888888889,0.013828277587890625
126,15,539,10,5,0.6666666666666666,1,1,0,0,6,10.166666666666666,0.013828277587890625
127,11,486,7,4,0.6363636363636364,1,1,0,0,6,19.0,0.011920928955078125
128,11,569,6,5,0.5454545454545454,1,1,0,1,7,18.714285714285715,0.012159347534179688
129,10,416,4,6,0.4,1,1,0,1,5,16.8,0.010967254638671875
