id,n_items,total_weight,opt_bins,waste_abs,waste_pct,n_items_is_prime,total_weight_is_prime,total_weight_is_pow2,prime_elem_count,pow2_elem_count
689,19,716,8,84,10.5,1,0,0,7,0
690,13,496,6,104,17.333333333333336,1,0,0,3,0
691,16,714,8,86,10.75,0,0,0,4,1
692,10,512,7,188,26.857142857142858,0,0,1,1,0
693,10,422,5,78,15.6,0,0,0,2,2
694,18,757,8,43,5.375,0,1,0,4,1
695,13,332,4,68,17.0,1,0,0,4,0
696,19,753,8,47,5.875,1,0,0,2,1
697,18,654,7,46,6.571428571428571,0,0,0,7,1
698,14,465,5,35,7.000000000000001,0,0,0,2,2
699,11,435,5,65,13.0,1,0,0,1,0
700,15,615,7,85,12.142857142857142,0,0,0,4,1
701,14,408,5,92,18.4,0,0,0,3,1
702,14,524,6,76,12.666666666666668,0,0,0,3,2
703,17,789,9,111,12.333333333333334,1,0,0,4,1
704,11,531,7,169,24.142857142857142,1,0,0,3,0
705,19,839,9,61,6.777777777777779,1,1,0,7,0
706,15,595,7,105,15.0,0,0,0,2,0
707,16,636,7,64,9.142857142857142,0,0,0,5,0
708,10,513,6,87,14.499999999999998,0,0,0,2,0
709,16,560,6,40,6.666666666666667,0,0,0,5,1
710,12,501,6,99,16.5,0,0,0,5,0
711,19,653,7,47,6.714285714285714,1,1,0,2,1
712,14,548,6,52,8.666666666666668,0,0,0,4,1
713,11,401,5,99,19.8,1,1,0,1,0
714,19,872,10,128,12.8,1,0,0,4,0
715,17,713,8,87,10.875,1,0,0,1,2
716,12,421,5,79,15.8,0,1,0,4,0
717,17,701,8,99,12.375,1,1,0,3,0
718,15,662,8,138,17.25,0,0,0,3,1
719,13,487,5,13,2.6,1,1,0,2,2
720,17,772,8,28,3.5000000000000004,1,0,0,3,1
721,18,753,8,47,5.875,0,0,0,7,1
722,12,443,5,57,11.4,0,1,0,1,1
723,16,615,7,85,12.142857142857142,0,0,0,3,2
724,12,616,8,184,23.0,0,0,0,3,0
725,10,485,7,215,30.714285714285715,0,0,0,2,1
726,13,535,6,65,10.833333333333334,1,0,0,5,1
727,14,532,6,68,11.333333333333332,0,0,0,3,1
728,18,770,9,130,14.444444444444443,0,0,0,8,1
729,19,839,9,61,6.777777777777779,1,1,0,4,1
730,16,575,6,25,4.166666666666666,0,0,0,3,1
731,17,808,11,292,26.545454545454543,1,0,0,3,0
732,12,526,6,74,12.333333333333334,0,0,0,1,0
733,11,543,7,157,22.428571428571427,1,0,0,3,0
734,17,728,8,72,9.0,1,0,0,4,0
735,17,568,6,32,5.333333333333334,1,0,0,6,1
736,17,524,6,76,12.666666666666668,1,0,0,4,0
737,13,456,5,44,8.799999999999999,1,0,0,4,0
738,10,432,5,68,13.600000000000001,0,0,0,4,0
739,13,530,6,70,11.666666666666666,1,0,0,4,0
740,11,408,5,92,18.4,1,0,0,3,1
741,19,732,8,68,8.5,1,0,0,2,1
742,17,634,7,66,9.428571428571429,1,0,0,6,0
743,10,405,5,95,19.0,0,0,0,0,1
744,19,722,8,78,9.75,1,0,0,7,0
745,19,776,10,224,22.400000000000002,1,0,0,5,2
746,15,534,6,66,11.0,0,0,0,6,1
747,18,760,9,140,15.555555555555555,0,0,0,4,0
748,10,471,6,129,21.5,0,0,0,5,0
749,19,778,8,22,2.75,1,0,0,3,2
750,16,647,7,53,7.571428571428572,0,1,0,6,4
751,11,303,4,97,24.25,1,0,0,0,1
752,14,650,8,150,18.75,0,0,0,2,0
753,16,604,7,96,13.714285714285715,0,0,0,3,0
754,10,448,5,52,10.4,0,0,0,4,0
755,18,741,8,59,7.375,0,0,0,4,1
756,11,359,4,41,10.25,1,1,0,2,0
757,18,808,9,92,10.222222222222223,0,0,0,4,2
758,10,327,4,73,18.25,0,0,0,1,1
759,14,526,6,74,12.333333333333334,0,0,0,3,0
760,17,547,6,53,8.833333333333334,1,1,0,2,2
761,18,728,8,72,9.0,0,0,0,5,1
762,12,547,6,53,8.833333333333334,0,1,0,3,0
763,11,526,6,74,12.333333333333334,1,0,0,3,1
764,19,807,9,93,10.333333333333334,1,0,0,6,0
765,12,517,6,83,13.833333333333334,0,0,0,2,0
766,16,546,6,54,9.0,0,0,0,3,1
767,16,555,6,45,7.5,0,0,0,3,0
768,14,668,7,32,4.571428571428571,0,0,0,4,0
769,17,584,6,16,2.666666666666667,1,0,0,3,0
770,13,511,6,89,14.833333333333334,1,0,0,2,1
771,13,450,5,50,10.0,1,0,0,2,1
772,15,559,6,41,6.833333333333333,0,0,0,3,1
773,14,613,7,87,12.428571428571429,0,1,0,4,0
774,12,549,6,51,8.5,0,0,0,3,0
775,12,442,5,58,11.600000000000001,0,0,0,4,0
776,11,434,5,66,13.200000000000001,1,0,0,4,2
777,14,421,5,79,15.8,0,1,0,1,0
778,17,666,7,34,4.857142857142857,1,0,0,3,1
