id,n_items,total_weight,avg_size,std_size,skew_size,theo_min,opt_bins,waste_pct,solve_time_ms
187,14,510,36.42857142857143,19.472719717256066,0.39013080018183294,6,6,15.0,0.011205673217773438
188,11,437,39.72727272727273,19.318855603223028,0.133030004222022,5,5,12.6,0.008821487426757812
189,11,401,36.45454545454545,20.15124629576859,0.2827481708912828,5,5,19.8,0.007867813110351562
190,12,501,41.75,21.452378550047673,-0.15207358512485378,6,6,16.5,0.012874603271484375
191,15,580,38.666666666666664,20.44737729136033,0.029796161380501694,6,6,3.3333333333333335,0.012874603271484375
192,14,484,34.57142857142857,15.335801680603893,0.29115975350886997,5,5,3.2,0.011920928955078125
193,10,429,42.9,17.527438806371887,-0.5052074248709459,5,5,14.2,0.008106231689453125
194,11,358,32.54545454545455,13.75037189579712,0.0816244354509813,4,4,10.5,0.0069141387939453125
195,15,583,38.86666666666667,15.683779913686381,-0.35954640500827884,6,6,2.833333333333333,0.012874603271484375
196,10,349,34.9,16.515649144573963,0.14445277769405498,4,4,12.75,0.008344650268554688
197,11,456,41.45454545454545,18.506018676979856,-0.5358910933012914,5,6,24.0,0.012159347534179688
198,12,567,47.25,12.750222814452375,-0.564715476145945,6,7,19.0,0.03790855407714844
199,11,390,35.45454545454545,22.128550049036814,0.2903907704991472,4,4,2.5,0.01811981201171875
200,11,455,41.36363636363637,17.962587381959914,0.19302054786952125,5,5,9.0,0.012159347534179688
201,10,444,44.4,18.98654494343004,-0.36277512077108975,5,6,26.0,0.011920928955078125
202,12,503,41.916666666666664,16.494948721755193,0.340300682056086,6,6,16.166666666666664,0.010967254638671875
203,11,501,45.54545454545455,16.403436447059722,-0.30946483202074243,6,6,16.5,0.010013580322265625
204,13,426,32.76923076923077,15.034149162012495,0.43659902866296335,5,5,14.799999999999999,0.010013580322265625
205,12,493,41.083333333333336,15.435839838348658,-0.287675550752233,5,6,17.833333333333336,0.010967254638671875
206,12,490,40.833333333333336,17.51276590653143,-0.13862912560336552,5,5,2.0,0.010013580322265625
207,14,584,41.714285714285715,21.341287436575833,-0.2709805136881717,6,8,27.0,0.02002716064453125
208,10,411,41.1,17.038844509596952,0.02128910683810625,5,5,17.8,0.007867813110351562
209,11,444,40.36363636363637,16.439420471979705,0.0695142739030409,5,5,11.200000000000001,0.009059906005859375
210,12,392,32.666666666666664,13.686976778431873,0.19536686985589033,4,5,21.6,0.007867813110351562
211,14,523,37.357142857142854,17.00953191078978,0.3401632898002824,6,6,12.833333333333332,0.01430511474609375
212,11,490,44.54545454545455,20.39295778627336,-0.38219657679449137,5,6,18.333333333333332,0.010967254638671875
213,12,505,42.083333333333336,17.301909160727337,-0.12327987970934555,6,6,15.833333333333332,0.009775161743164062
214,15,596,39.733333333333334,18.06522573765357,0.14109243980571384,6,7,14.857142857142858,0.013113021850585938
215,10,435,43.5,13.922404006971401,-0.07592752822001972,5,5,13.0,0.00667572021484375
216,10,403,40.3,13.760248705762715,-0.24322158554128281,5,5,19.400000000000002,0.0069141387939453125
217,14,538,38.42857142857143,18.228102925530575,0.030726501298985808,6,6,10.333333333333334,0.012159347534179688
218,14,562,40.142857142857146,19.638491023251497,-0.026526667447640487,6,6,6.333333333333334,0.013113021850585938
219,12,528,44,20.83702997506646,0.18475616181138427,6,6,12.0,0.008821487426757812
220,10,360,36,12.719189352225943,-0.0836863928546512,4,4,10.0,0.007867813110351562
221,10,417,41.7,16.865810254937518,-0.14350254573995025,5,5,16.6,0.0069141387939453125
222,15,681,45.4,22.940295178073512,-0.4855891338176325,7,9,24.333333333333336,0.0209808349609375
223,14,580,41.42857142857143,15.062507124616436,-0.3708623241313626,6,6,3.3333333333333335,0.010967254638671875
224,15,547,36.46666666666667,15.5327610767264,0.1500478454344265,6,6,8.833333333333334,0.013828277587890625
225,13,528,40.61538461538461,15.521696973046373,0.3363560455055642,6,6,12.0,0.011920928955078125
226,11,370,33.63636363636363,12.492179371692734,0.2647324316756949,4,4,7.5,0.008821487426757812
227,11,420,38.18181818181818,20.88453103049327,0.346156963120106,5,5,16.0,0.009059906005859375
228,11,476,43.27272727272727,16.589701076818166,0.03884606767286283,5,5,4.8,0.010251998901367188
229,13,484,37.23076923076923,17.4602111773877,0.3733961623648288,5,5,3.2,0.010013580322265625
230,12,488,40.666666666666664,17.364191645888717,-0.2484749862726972,5,6,18.666666666666668,0.009059906005859375
231,10,409,40.9,18.74655523911882,0.07695436384258285,5,5,18.2,0.0069141387939453125
232,12,369,30.75,12.89908382934089,-0.25991777230710617,4,4,7.75,0.008821487426757812
233,13,522,40.15384615384615,16.821841723615133,-0.20379594150964184,6,6,13.0,0.010013580322265625
234,12,438,36.5,18.04287822231959,0.17216349911547993,5,5,12.4,0.010013580322265625
235,10,421,42.1,16.43471934655411,-0.0718239984316581,5,5,15.8,0.0069141387939453125
236,14,569,40.642857142857146,15.63825262153496,0.26726683242496363,6,6,5.166666666666667,0.012159347534179688
237,14,545,38.92857142857143,14.144660779652108,-0.3483577370927413,6,6,9.166666666666666,0.011920928955078125
238,12,588,49,16.39290312077982,-1.0347950493119944,6,8,26.5,0.013828277587890625
239,14,600,42.857142857142854,15.149801434886317,-0.5826486501520483,6,7,14.285714285714285,0.010967254638671875
240,11,410,37.27272727272727,21.00043289597102,0.11178590592539212,5,5,18.0,0.008821487426757812
241,12,527,43.916666666666664,15.506352559418017,0.03916358303161157,6,6,12.166666666666668,0.010013580322265625
242,15,542,36.13333333333333,13.479437603076699,-0.12432965420215845,6,6,9.666666666666666,0.012874603271484375
243,14,674,48.142857142857146,11.921907067741643,-0.48805104953109646,7,8,15.75,0.01621246337890625
244,11,414,37.63636363636363,16.65696687439059,0.7515639890486854,5,5,17.2,0.0069141387939453125
245,15,668,44.53333333333333,15.792704765477122,0.005059870048257372,7,7,4.571428571428571,0.011920928955078125
